organism_id:ID,:LABEL,organism_name_raw,organism_name_norm,taxonomy_id,kingdom
organism:f70e3ac8bfed,Organism,Dendrobium huoshanense,Dendrobium huoshanense,,
organism:ed84399b18a4,Organism,Erythronium sibiricum,Erythronium sibiricum,,
organism:f8d50718b1b4,Organism,Larix principis-rupprechtii,Larix principis-rupprechtii,,
organism:bd6f06709675,Organism,Celosia cristata,Celosia cristata,,
organism:65e81ba0146b,Organism,Clinacanthus nutans,Clinacanthus nutans,,
organism:d8ecbbc4b8dd,Organism,Rhopilema esculentum,Rhopilema esculentum,,
organism:112ab0235770,Organism,Leuconostoc mesenteroides BD1710,Leuconostoc mesenteroides BD1710,,
organism:2a46818d5419,Organism,Dendrobium wardianum,Dendrobium wardianum,,
organism:661a1aec39f7,Organism,Astragalus,Astragalus,,
organism:b30b5d961078,Organism,Polygonatum sibiricum,Polygonatum sibiricum,,
organism:5f15457bbd89,Organism,Lonicera japonica Thunb.,Lonicera japonica Thunb.,,
organism:388f54311515,Organism,Tremella fuciformis,Tremella fuciformis,,
organism:9eca8523e53e,Organism,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus (L.) Moench,,
organism:1e63d0317840,Organism,Saussurea involucrata,Saussurea involucrata,,
organism:589a537d2b59,Organism,Coriandrum sativum,Coriandrum sativum,,
organism:cb576fdb2294,Organism,Eucommia folium,Eucommia folium,,
organism:07198c918b5a,Organism,Dimocarpus longan,Dimocarpus longan,,
organism:53dacc49fa17,Organism,Poria cocos,Poria cocos,,
organism:75093c5d8fa7,Organism,Houttuynia cordata,Houttuynia cordata,,
organism:952292c0a898,Organism,Bletilla ochracea,Bletilla ochracea,,
organism:6f1c66adc749,Organism,Cynanchum acutum,Cynanchum acutum,,
organism:20bc30001600,Organism,Morchella esculenta,Morchella esculenta,,
organism:dfd8a974072c,Organism,Stevia rebaudiana,Stevia rebaudiana,,
organism:b600b52b14dd,Organism,Rubus fruticosus,Rubus fruticosus,,
organism:a778ac84e2e0,Organism,Gelidium pacificum Okamura,Gelidium pacificum Okamura,,
organism:75dd0d6c58d4,Organism,Echinodontium tinctorium,Echinodontium tinctorium,,
organism:1e7b1cd40276,Organism,Bacillus sp. H5,Bacillus sp. H5,,
organism:39a9831506ee,Organism,Mucor sp.,Mucor sp.,,
organism:e5bc5fde1584,Organism,Ilex cornuta,Ilex cornuta,,
organism:73e56fa05f2c,Organism,Boletus speciosus,Boletus speciosus,,
organism:4d87cf7157a0,Organism,Garcinia mangostana,Garcinia mangostana,,
organism:f2fb95326205,Organism,Umbilicaria esculenta,Umbilicaria esculenta,,
organism:8860c603977b,Organism,Camellia sinensis,Camellia sinensis,,
organism:b09e9b074af3,Organism,Leucosceptrum canum,Leucosceptrum canum,,
organism:de70d7c5a2b0,Organism,Sporisorium reilianum,Sporisorium reilianum,,
organism:c8da5812d2b5,Organism,Pueraria lobata (Willd.),Pueraria lobata (Willd.),,
organism:3bb5cc422933,Organism,Nelumbo nucifera Gaertn.,Nelumbo nucifera Gaertn.,,
organism:2fc783062678,Organism,Linum usitatissimum,Linum usitatissimum,,
organism:170ae9be4e89,Organism,Rosa laevigata,Rosa laevigata,,
organism:4f828d2bbf7c,Organism,Passiflora foetida,Passiflora foetida,,
organism:616e60084a25,Organism,Pueraria lobata,Pueraria lobata,,
organism:c85c2b28de7a,Organism,Glycyrrhiza inflata,Glycyrrhiza inflata,,
organism:2f0282978b07,Organism,Ilex latifolia,Ilex latifolia,,
organism:885f462671fc,Organism,Orostachys fimbriata,Orostachys fimbriata,,
organism:2b73cd4bfa0a,Organism,Sedum sarmentosum,Sedum sarmentosum,,
organism:2677a3faee6a,Organism,Sargassum fusiforme,Sargassum fusiforme,,
organism:44e46b75a208,Organism,Aspergillus fumigatus,Aspergillus fumigatus,,
organism:dffa2576e7a5,Organism,Zoogloeal ramigera,Zoogloeal ramigera,,
organism:07a7303f67a9,Organism,Saccharomyces cerevisiae,Saccharomyces cerevisiae,,
organism:e09857ac7f21,Organism,Amanita muscaria,Amanita muscaria,,
organism:c7d0046378a3,Organism,Klebsiella pneumoniae,Klebsiella pneumoniae,,
organism:42c168420fc0,Organism,Leishmania donovani,Leishmania donovani,,
organism:ff185d9ca521,Organism,Cryptococcus neoformans,Cryptococcus neoformans,,
organism:6e7f4fc9f024,Organism,Codonopsis pilosula,Codonopsis pilosula,,
organism:0f54f9b5c472,Organism,Dendrobium nobile,Dendrobium nobile,,
organism:10a089050d9d,Organism,Ganoderma lucidum,Ganoderma lucidum,,
organism:4411236ab33b,Organism,Phoma herbarum,Phoma herbarum,,
organism:5a470046bafc,Organism,Cudrania tricuspidata,Cudrania tricuspidata,,
organism:78bcc07e9c20,Organism,Sterculia lychnophora,Sterculia lychnophora,,
organism:e01478c9d880,Organism,Tremella aurantialba,Tremella aurantialba,,
organism:70861cb41f97,Organism,Lycium barbarum L.,Lycium barbarum L.,,
organism:f6bf5b11d9a0,Organism,Dendrobium officinale,Dendrobium officinale,,
organism:b3f29c43ce4d,Organism,Fusarium oxysporum,Fusarium oxysporum,,
organism:b942005d8706,Organism,Dendrocalamus latiflorus,Dendrocalamus latiflorus,,
organism:e200d6864f52,Organism,Lentinus giganteus,Lentinus giganteus,,
organism:4b198e1fefa0,Organism,Ipomoea batatas,Ipomoea batatas,,
organism:8d0e694d24c2,Organism,Typha angustifolia L.,Typha angustifolia L.,,
organism:f0ca429d0f1a,Organism,Typha angustifolia L,Typha angustifolia L,,
organism:48e4bd79c000,Organism,Ulva prolifera,Ulva prolifera,,
organism:5cccd900af7e,Organism,Termitomyces albuminosus,Termitomyces albuminosus,,
organism:2c8ac83a5905,Organism,Phellinus pini,Phellinus pini,,
organism:22c37602b787,Organism,Grifola frondosa,Grifola frondosa,,
organism:3b17e778aed0,Organism,Morus alba,Morus alba,,
organism:5de36456e3e1,Organism,Salvia miltiorrhiza,Salvia miltiorrhiza,,
organism:6140fa69a8cc,Organism,Glycyrrhiza uralensis,Glycyrrhiza uralensis,,
organism:b28708ba2ec0,Organism,Bacillus megaterium,Bacillus megaterium,,
organism:65672e0cb49c,Organism,Ocimum basilicum,Ocimum basilicum,,
organism:589db1cc3b1b,Organism,Codonopsis tangshen,Codonopsis tangshen,,
organism:b1ee987e53b2,Organism,Cyclocarya paliurus,Cyclocarya paliurus,,
organism:ff9d4761a591,Organism,Glycyrrhiza glabra,Glycyrrhiza glabra,,
organism:99753cc3b7d1,Organism,Piperis Dahongpao,Piperis Dahongpao,,
organism:7baa3e6335cd,Organism,Echinops ritro,Echinops ritro,,
organism:65cc78762b89,Organism,Tamarindus indica,Tamarindus indica,,
organism:2822c8c7f915,Organism,Phellinus linteus,Phellinus linteus,,
organism:58c68c978dfc,Organism,Moringa oleifera,Moringa oleifera,,
organism:d2a2096f607f,Organism,Trichoderma koningii,Trichoderma koningii,,
organism:d9dde50e9903,Organism,Ophiocordyceps sinensis,Ophiocordyceps sinensis,,
organism:d12cf7e05708,Organism,Fritillaria unibracteata var. wabuensis,Fritillaria unibracteata var. wabuensis,,
organism:a1dc03bdb7c5,Organism,Antrodia cinnamomea,Antrodia cinnamomea,,
organism:7dffb4831b7e,Organism,Rubus amabilis,Rubus amabilis,,
organism:cad53e4293bb,Organism,Dendrocalamus brandisii,Dendrocalamus brandisii,,
organism:da3236104446,Organism,Meripilus giganteus,Meripilus giganteus,,
organism:cce9a583a447,Organism,Typha angustifolia,Typha angustifolia,,
organism:8015216feab2,Organism,Anemarrhena asphodeloides,Anemarrhena asphodeloides,,
organism:42099b4af021,Organism,/,/,,
organism:428637e84699,Organism,Ahnfeltiopsis flabelliformis,Ahnfeltiopsis flabelliformis,,
organism:80a834b66884,Organism,Enteromorpha linza,Enteromorpha linza,,
organism:419515b94ea5,Organism,Phellinus igniarius,Phellinus igniarius,,
organism:28d31bbfe9f0,Organism,Achatina fulica,Achatina fulica,,
organism:48983c10d1c6,Organism,Polyporus umbellatus,Polyporus umbellatus,,
organism:84eec3e25eb6,Organism,Pholiota nameko,Pholiota nameko,,
organism:c50c4e0f7fa8,Organism,Musa,Musa,,
organism:d8be049d6243,Organism,Nelumbo nucifera,Nelumbo nucifera,,
organism:6578edec8a51,Organism,Smilacina japonica,Smilacina japonica,,
organism:1bc2ef59c71a,Organism,Nostoc commune,Nostoc commune,,
organism:4e0501063175,Organism,Aster tataricus,Aster tataricus,,
organism:831a821cd889,Organism,Porphyra haitanensis,Porphyra haitanensis,,
organism:8f55d380835b,Organism,Dioscorea opposita,Dioscorea opposita,,
organism:4ca7947c9ff3,Organism,Anoectochilus roxburghii,Anoectochilus roxburghii,,
organism:fed2b8dff564,Organism,Nepenthes,Nepenthes,,
organism:aa477ec76613,Organism,Ocimum,Ocimum,,
organism:0577646068d9,Organism,Codonopsis tangshen Oliv,Codonopsis tangshen Oliv,,
organism:cd2830b8a3d3,Organism,Vigna unguiculata,Vigna unguiculata,,
organism:ea5f7f0d0e91,Organism,Acanthophyllum bracteatum,Acanthophyllum bracteatum,,
organism:660366db0afd,Organism,Lentinus sajor-caju,Lentinus sajor-caju,,
organism:7e2fb4a2f42b,Organism,Craterellus cornucopioides,Craterellus cornucopioides,,
organism:73de71612822,Organism,Bullacta exarata,Bullacta exarata,,
organism:0c51e8349b0d,Organism,Gomphus clavatus,Gomphus clavatus,,
organism:a6ee81078643,Organism,Ganoderma capense,Ganoderma capense,,
organism:8443a1bd0e57,Organism,Weissella confusa,Weissella confusa,,
organism:4194d856b6b5,Organism,Huangshui,Huangshui,,
organism:c6ce879eed55,Organism,Xanthoria parietina,Xanthoria parietina,,
organism:5ac488cb11bf,Organism,Agaricus blazei Murill,Agaricus blazei Murill,,
organism:2f633d6ce831,Organism,Haliotis discus hannai Ino,Haliotis discus hannai Ino,,
organism:45a2d448639c,Organism,Piptoporus betulinus,Piptoporus betulinus,,
organism:9c49504deee3,Organism,Paenibacillus bovis,Paenibacillus bovis,,
organism:90abc456905a,Organism,Lachnum sp.,Lachnum sp.,,
organism:271bf52dbb1b,Organism,Ophiopogon japonicus,Ophiopogon japonicus,,
organism:82f2f524ec11,Organism,Chinese traditional medicine Huidouba,Chinese traditional medicine Huidouba,,
organism:8aa6a6f16dd3,Organism,Chlorella ellipsoidea,Chlorella ellipsoidea,,
organism:17f8cdaf5c0b,Organism,hybrid mushroom pfle 1p,hybrid mushroom pfle 1p,,
organism:5fb31d0044cf,Organism,Periplaneta americana,Periplaneta americana,,
organism:863e97e495c2,Organism,Botryosphaeria rhodina,Botryosphaeria rhodina,,
organism:5b404ecedbfd,Organism,Wolfiporia cocos,Wolfiporia cocos,,
organism:21f57367da50,Organism,Ramaria gracilis,Ramaria gracilis,,
organism:91b482cfe30e,Organism,hindgut populated with abundant microbes,hindgut populated with abundant microbes,,
organism:a2cb20d79b22,Organism,Acorus tatarinowii,Acorus tatarinowii,,
organism:b94ceed3e305,Organism,Rubus parvifolius,Rubus parvifolius,,
organism:a2783d72bc5b,Organism,Isostichopus badionotus,Isostichopus badionotus,,
organism:d09b4d5ea913,Organism,Pleurotus eryngii,Pleurotus eryngii,,
organism:dced417220ea,Organism,Ginseng,Ginseng,,
organism:3fc27a1b1d4d,Organism,Arnebia euchroma（Royle）Johnst,Arnebia euchroma（Royle）Johnst,,
organism:77253b1ebf72,Organism,Streptococcus equi subsp. zooepidemicus,Streptococcus equi subsp. zooepidemicus,,
organism:5c68ed240155,Organism,Gynostemma pentaphyllum (Thunb.) Makino,Gynostemma pentaphyllum (Thunb.) Makino,,
organism:d6efb8150fed,Organism,Lactobacillus casei SB27,Lactobacillus casei SB27,,
organism:e5cd168cc0d8,Organism,Cynanchum Auriculatum,Cynanchum Auriculatum,,
organism:5c338eab5204,Organism,Euglena gracilis,Euglena gracilis,,
organism:9e4f9fb14f22,Organism,Euryale ferox,Euryale ferox,,
organism:30b1237dd04d,Organism,Tetrastigma hemsleyanum,Tetrastigma hemsleyanum,,
organism:870eb16aef92,Organism,Sargassum henslowianum,Sargassum henslowianum,,
organism:c004b58c48a8,Organism,Amomum villosum,Amomum villosum,,
organism:e67c0345e14d,Organism,Abelmoschus esculentus,Abelmoschus esculentus,,
organism:13a1b11d2752,Organism,Semiaquilegia adoxoides,Semiaquilegia adoxoides,,
organism:7c78c63a36ae,Organism,Holothuroidea,Holothuroidea,,
organism:1ec2c627522d,Organism,Leucopaxillus giganteus,Leucopaxillus giganteus,,
organism:a804ca590c3c,Organism,Cistanche deserticola,Cistanche deserticola,,
organism:edb5d87f9d2d,Organism,Mallotus peltatus,Mallotus peltatus,,
organism:ec7aff6eb66b,Organism,Umbilicaria yunnana,Umbilicaria yunnana,,
organism:7cfa71d96a37,Organism,Larix,Larix,,
organism:e9819e2dc6a7,Organism,Cucurbita moschata,Cucurbita moschata,,
organism:19df80e28091,Organism,Cornus officinalis,Cornus officinalis,,
organism:f9a8d1b2e68f,Organism,Sargassum,Sargassum,,
organism:a8587d1dcadf,Organism,Chondrus crispus,Chondrus crispus,,
organism:75f91c4f5ea2,Organism,Laminaria longissima,Laminaria longissima,,
organism:5fca76f1802e,Organism,Padina pavonica,Padina pavonica,,
organism:abb53809224a,Organism,Gracilaria lemaneiformis,Gracilaria lemaneiformis,,
organism:5b629079909c,Organism,Sargassum hemiphyllum,Sargassum hemiphyllum,,
organism:62108c487e4a,Organism,Cystoseira sedoides,Cystoseira sedoides,,
organism:d40d826a96b5,Organism,Coccophora langsdorfii,Coccophora langsdorfii,,
organism:0ce878272401,Organism,Perinereis aibuhitensis,Perinereis aibuhitensis,,
organism:f66667807df4,Organism,Scytothamnus australis,Scytothamnus australis,,
organism:d39a60c1370e,Organism,Cladophora,Cladophora,,
organism:096d666e54b6,Organism,Capsosiphon fulvescens,Capsosiphon fulvescens,,
organism:db7ab1db0eb4,Organism,Monostroma angicava,Monostroma angicava,,
organism:63d5a57f7087,Organism,Gayralia oxysperma,Gayralia oxysperma,,
organism:eb0e579bbbd7,Organism,Allium sativum,Allium sativum,,
organism:bcf712f0f678,Organism,Lactobacillus plantarum BC-25,Lactobacillus plantarum BC-25,,
organism:34fa6b99275f,Organism,Atractylodes,Atractylodes,,
organism:a210d925bfe9,Organism,Citrus reticulate,Citrus reticulate,,
organism:c4d96240c435,Organism,Juniperus pingii var. Wilsonii,Juniperus pingii var. Wilsonii,,
organism:f80f154aeb81,Organism,Crataegus pinnatifida,Crataegus pinnatifida,,
organism:6d40c7fe3244,Organism,Pseudomonas aeruginosa,Pseudomonas aeruginosa,,
organism:fdce853f9a2b,Organism,Cytophaga sp.,Cytophaga sp.,,
organism:98e3f4d11a05,Organism,Aspergillus parasiticus,Aspergillus parasiticus,,
organism:5ccbf02792ef,Organism,bovine articular cartilage,bovine articular cartilage,,
organism:fe5395558884,Organism,Glycine max,Glycine max,,
organism:612fb356553f,Organism,Pleurotus ostreatus,Pleurotus ostreatus,,
organism:6e9225e2c002,Organism,syncytiotrophoblastic cells of first-trimester human placentas,syncytiotrophoblastic cells of first-trimester human placentas,,
organism:7a044c6b1ec5,Organism,Klebsiella aerogenes,Klebsiella aerogenes,,
organism:fec580cceac6,Organism,rice bran,rice bran,,
organism:d04b6c0e5b40,Organism,Pasteurella multocida,Pasteurella multocida,,
organism:3c20ecad3e75,Organism,the mite Dermatophagoides farinae,the mite Dermatophagoides farinae,,
organism:1465e57e6968,Organism,the algae Udotea petiolata,the algae Udotea petiolata,,
organism:8966be8e8747,Organism,Amoebae of Dictyostelium discoideum,Amoebae of Dictyostelium discoideum,,
organism:e13e61f3f079,Organism,Haemophilus influenzae,Haemophilus influenzae,,
organism:c94f9761bc66,Organism,Rhodococcus equi,Rhodococcus equi,,
organism:10eed79819e8,Organism,Campylobacter coli,Campylobacter coli,,
organism:5fdd15e5129c,Organism,"Human teratocarcinoma derived cells, line PA 1","Human teratocarcinoma derived cells, line PA 1",,
organism:d1ac70e3c1c5,Organism,Chicken embryo fibroblasts (C/E phenotype),Chicken embryo fibroblasts (C/E phenotype),,
organism:fee8dea9186b,Organism,Yersinia pestis,Yersinia pestis,,
organism:f69a0ac4c7b5,Organism,Lentinus edodes,Lentinus edodes,,
organism:8476e4d87fdc,Organism,Buccinum undatum,Buccinum undatum,,
organism:e89a5316da99,Organism,mouse Engelbreth-Holm-Swarm tumor,mouse Engelbreth-Holm-Swarm tumor,,
organism:a33b54d51761,Organism,Ceratocystis ulmi,Ceratocystis ulmi,,
organism:3d369572bee9,Organism,Actinobacillus pleuropneumoniae serovar 1,Actinobacillus pleuropneumoniae serovar 1,,
organism:09a636faca9a,Organism,yeast cell wall,yeast cell wall,,
organism:8365ab0d47c8,Organism,Aplysia californica,Aplysia californica,,
organism:3f06e033b805,Organism,Aeromonas salmonicida subsp. salmonicida,Aeromonas salmonicida subsp. salmonicida,,
organism:c06be3dfbc77,Organism,B. abortus (Strains 2308 and 19) membrane,B. abortus (Strains 2308 and 19) membrane,,
organism:dfe035247096,Organism,Senna alexandrina,Senna alexandrina,,
organism:c2d415888309,Organism,Platycodon grandiflorum,Platycodon grandiflorum,,
organism:66e63253a61e,Organism,Morchella sextelata,Morchella sextelata,,
organism:b8667f26407c,Organism,Pleurotus nebrodensis,Pleurotus nebrodensis,,
organism:efb79f0a5998,Organism,Phyllostachys nigra,Phyllostachys nigra,,
organism:d44d859920d1,Organism,Inonotus hispidus,Inonotus hispidus,,
organism:57e7c20d83d7,Organism,Chroogomphus rutilus,Chroogomphus rutilus,,
organism:cbbc8cd9e4df,Organism,LPS-challenged mice,LPS-challenged mice,,
organism:014e40b822e6,Organism,Lasiodiplodia theobromae,Lasiodiplodia theobromae,,
organism:3be47f82b16e,Organism,Juglans regia,Juglans regia,,
organism:2c7efea260ca,Organism,Gastrodia elata,Gastrodia elata,,
organism:d507e209a023,Organism,Ephedra sinica,Ephedra sinica,,
organism:234898229c9c,Organism,Rhodophyta,Rhodophyta,,
organism:1c5e1673e5c8,Organism,Sorbus aucuparia,Sorbus aucuparia,,
organism:e1f9dc12ef70,Organism,Lycium ruthenicum,Lycium ruthenicum,,
organism:85fcb35a6e00,Organism,Mactra quadrangularis,Mactra quadrangularis,,
organism:babd7e908343,Organism,Saccharina japonica,Saccharina japonica,,
organism:9f5031396aea,Organism,Undaria pinnatifida,Undaria pinnatifida,,
organism:041114eadc30,Organism,Pleurotus geesterani,Pleurotus geesterani,,
organism:2694b54667e3,Organism,Lycopus lucidus,Lycopus lucidus,,
organism:8765b31d6d88,Organism,Hyriopsis cumingii,Hyriopsis cumingii,,
organism:68899204be37,Organism,Boletus speciosus Frost,Boletus speciosus Frost,,
organism:b7b805658025,Organism,Nephrolepis cordifolia,Nephrolepis cordifolia,,
organism:8fea9248ff0c,Organism,Hypericum perforatum,Hypericum perforatum,,
organism:df5cf638eeb0,Organism,Cryptococcus gattii,Cryptococcus gattii,,
organism:35380a8d878c,Organism,Schizophyllum commune,Schizophyllum commune,,
organism:8915ad2e4184,Organism,Citrus sinensis,Citrus sinensis,,
organism:288ddd934d9c,Organism,Lentinula edodes,Lentinula edodes,,
organism:9d00ae2b74fc,Organism,Trametes versicolor,Trametes versicolor,,
organism:ceafa0a2290a,Organism,Auricularia polytricha,Auricularia polytricha,,
organism:adffeac77ca7,Organism,Chenopodium quinoa,Chenopodium quinoa,,
organism:c788d48ccef4,Organism,Crotalaria alata,Crotalaria alata,,
organism:0f0cd7e189ff,Organism,Nicotiana tabacum,Nicotiana tabacum,,
organism:0c90862e21a9,Organism,Portulaca oleracea,Portulaca oleracea,,
organism:f05a8c83e6fd,Organism,Phallus indusiatus,Phallus indusiatus,,
organism:64628db2959f,Organism,Pleurotus pulmonarius,Pleurotus pulmonarius,,
organism:ce9cd5b11e2a,Organism,Fucus vesiculosus,Fucus vesiculosus,,
organism:b28d788f0643,Organism,Ulva pertusa,Ulva pertusa,,
organism:dd62e58e41d5,Organism,Calocybe indica,Calocybe indica,,
organism:d8cefda760f8,Organism,Ginkgo biloba,Ginkgo biloba,,
organism:71b175b6ecd6,Organism,Cola cordifolia,Cola cordifolia,,
organism:0ec83900964d,Organism,Laminaria ochotensis,Laminaria ochotensis,,
organism:391fdf6970dd,Organism,Laminaria japonica,Laminaria japonica,,
organism:a8ac89fd454e,Organism,Chorda filum,Chorda filum,,
organism:7c740ace907f,Organism,Flammulina filiformis,Flammulina filiformis,,
organism:8ecbcc0639dd,Organism,Geotrichum,Geotrichum,,
organism:831249f9503e,Organism,Pseudomonas syringae pv. lachrymans,Pseudomonas syringae pv. lachrymans,,
organism:8b9319142401,Organism,Xanthomonas campestris,Xanthomonas campestris,,
organism:1279b2400647,Organism,Cyamopsis tetragonoloba,Cyamopsis tetragonoloba,,
organism:05dd216e3da9,Organism,Ceratonia siliqua,Ceratonia siliqua,,
organism:cb43250e342b,Organism,Amorphophallus konjac,Amorphophallus konjac,,
organism:e7c7b8b9390c,Organism,Acacia senegal,Acacia senegal,,
organism:dacaaebd4f3e,Organism,Cassytha filiformis,Cassytha filiformis,,
organism:427a4ba442f7,Organism,Sterculia,Sterculia,,
organism:841ef2a11b44,Organism,Chlorella vulgaris,Chlorella vulgaris,,
organism:cd8c742a00b4,Organism,Agaricus subrufescens,Agaricus subrufescens,,
organism:459246ffed98,Organism,Lilium davidii var. unicolor,Lilium davidii var. unicolor,,
organism:7b629ac5cf60,Organism,Kappaphycus alvarezii,Kappaphycus alvarezii,,
organism:2712293912ad,Organism,Saccharophagus degradans,Saccharophagus degradans,,
organism:d11b4330c46f,Organism,Capsicum annuum var. annuum,Capsicum annuum var. annuum,,
organism:4018769eacfc,Organism,Chlorophyta,Chlorophyta,,
organism:658082b8291b,Organism,Vitis vinifera,Vitis vinifera,,
organism:661c6aea6982,Organism,Holothuria,Holothuria,,
organism:d9598be51e9e,Organism,Parastichopus tremulus,Parastichopus tremulus,,
